P1	P2	P3	P4	path	fa	ncbi.path	ucsc.path
Eukaryota	Fungi	A-D	Arthroderma otae CBS 113480	genomes/Eukaryota/Arth_otae_CBS_113480/	Arth_otae_CBS_113480	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/145/GCA_000151145.1_ASM15114v1	none
Eukaryota	Fungi	A-D	Ascosphaera apis ARSEF 7405 USDA-ARSEF 7405	genomes/Eukaryota/Asco_apis_ARSEF_7405_USDA_ARSEF_7405/	Asco_apis_ARSEF_7405_USDA_ARSEF_7405	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/775/GCA_000149775.1_ASM14977v1	none
Eukaryota	Fungi	A-D	Ascocoryne sarcoides NRRL 50072	genomes/Eukaryota/Asco_sarc_NRRL_50072/	Asco_sarc_NRRL_50072	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/965/GCA_000328965.1_ASM32896v1	none
Eukaryota	Fungi	E-F	Eremothecium gossypii ATCC 10895	genomes/Eukaryota/Ashb_goss_ATCC_10895/	Ashb_goss_ATCC_10895	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/025/GCA_000091025.4_ASM9102v4	none
Eukaryota	Fungi	A-D	Aspergillus clavatus NRRL 1	genomes/Eukaryota/Aspe_clav_NRRL_1/	Aspe_clav_NRRL_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/715/GCA_000002715.1_ASM271v1	none
Eukaryota	Fungi	A-D	Aspergillus flavus NRRL3357	genomes/Eukaryota/Aspe_flav_NRRL3357/	Aspe_flav_NRRL3357	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/275/GCA_000006275.2_JCVI-afl1-v2.0	none
Eukaryota	Fungi	A-D	Aspergillus fumigatus A1163	genomes/Eukaryota/Aspe_fumi_A1163/	Aspe_fumi_A1163	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/145/GCA_000150145.1_ASM15014v1	none
Eukaryota	Fungi	A-D	Aspergillus fumigatus Af293	genomes/Eukaryota/Aspe_fumi_Af293/	Aspe_fumi_Af293	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/655/GCA_000002655.1_ASM265v1	none
Eukaryota	Fungi	A-D	Aspergillus kawachii IFO 4308 IFO4308	genomes/Eukaryota/Aspe_kawa_IFO_4308_IFO4308/	Aspe_kawa_IFO_4308_IFO4308	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/835/GCA_000239835.2_Akaw_assembly01	none
Eukaryota	Fungi	A-D	Aspergillus nidulans FGSC A4	genomes/Eukaryota/Aspe_nidu_FGSC_A4/	Aspe_nidu_FGSC_A4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/425/GCA_000011425.1_ASM1142v1	none
Eukaryota	Fungi	A-D	Aspergillus niger CBS 513.88	genomes/Eukaryota/Aspe_nige_CBS_513_88/	Aspe_nige_CBS_513_88	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/855/GCA_000002855.2_ASM285v2	none
Eukaryota	Fungi	A-D	Aspergillus niger SH-2	genomes/Eukaryota/Aspe_nige_SH_2/	Aspe_nige_SH_2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/045/GCA_000633045.1_AspAngSh2	none
Eukaryota	Fungi	A-D	Aspergillus oryzae RIB40	genomes/Eukaryota/Aspe_oryz_RIB40/	Aspe_oryz_RIB40	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/455/GCA_000184455.3_ASM18445v3	none
Eukaryota	Fungi	A-D	Aspergillus ruber CBS 135680	genomes/Eukaryota/Aspe_rube_CBS_135680/	Aspe_rube_CBS_135680	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/275/GCA_000600275.1_Eurhe1	none
Eukaryota	Fungi	A-D	Aspergillus sojae NBRC 4239	genomes/Eukaryota/Aspe_soja_NBRC_4239/	Aspe_soja_NBRC_4239	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/655/GCA_000226655.1_AsojaeNBRC4239_1.0	none
Eukaryota	Fungi	A-D	Aspergillus terreus NIH2624	genomes/Eukaryota/Aspe_terr_NIH2624/	Aspe_terr_NIH2624	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/615/GCA_000149615.1_ASM14961v1	none
Eukaryota	Fungi	A-D	Batrachochytrium dendrobatidis JAM81	genomes/Eukaryota/Batr_dend_JAM81/	Batr_dend_JAM81	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/795/GCA_000203795.1_v1.0	none
Eukaryota	Fungi	A-D	Batrachochytrium dendrobatidis JEL423	genomes/Eukaryota/Batr_dend_JEL423/	Batr_dend_JEL423	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/865/GCA_000149865.1_ASM14986v1	none
Eukaryota	Fungi	A-D	Baudoinia compniacensis UAMH 10762	genomes/Eukaryota/Baud_comp_UAMH_10762/	Baud_comp_UAMH_10762	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/955/GCA_000338955.1_Bauco1	none
Eukaryota	Fungi	A-D	Beauveria bassiana ARSEF 2860	genomes/Eukaryota/Beau_bass_ARSEF_2860/	Beau_bass_ARSEF_2860	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/675/GCA_000280675.1_ASM28067v1	none
Eukaryota	Fungi	A-D	Bipolaris maydis ATCC 48331	genomes/Eukaryota/Bipo_mayd_ATCC_48331/	Bipo_mayd_ATCC_48331	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/255/GCA_000354255.1_CocheC4_1	none
Eukaryota	Fungi	A-D	Bipolaris maydis C5	genomes/Eukaryota/Bipo_mayd_C5/	Bipo_mayd_C5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/975/GCA_000338975.1_CocheC5_3	none
Eukaryota	Fungi	A-D	Bipolaris sorokiniana ND90Pr	genomes/Eukaryota/Bipo_soro_ND90Pr/	Bipo_soro_ND90Pr	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/995/GCA_000338995.1_Cocsa1	none
Eukaryota	Fungi	A-D	Blastomyces dermatitidis ATCC 18187	genomes/Eukaryota/Blas_derm_ATCC_18187/	Blas_derm_ATCC_18187	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/155/GCA_000301155.1_BD_ATCC18187_V1	none
Eukaryota	Fungi	A-D	Blastomyces dermatitidis ATCC 18188	genomes/Eukaryota/Blas_derm_ATCC_18188/	Blas_derm_ATCC_18188	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/595/GCA_000151595.1_ASM15159v1	none
Eukaryota	Fungi	A-D	Blastomyces dermatitidis ATCC 26199	genomes/Eukaryota/Blas_derm_ATCC_26199/	Blas_derm_ATCC_26199	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/155/GCA_000166155.1_BD_ATCC26199_V2	none
Eukaryota	Fungi	A-D	Blastomyces dermatitidis ER-3	genomes/Eukaryota/Blas_derm_ER_3/	Blas_derm_ER_3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/525/GCA_000003525.2_ASM352v2	none
Eukaryota	Fungi	A-D	Blastomyces dermatitidis SLH14081	genomes/Eukaryota/Blas_derm_SLH14081/	Blas_derm_SLH14081	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/855/GCA_000003855.2_ASM385v2	none
Eukaryota	Fungi	A-D	Blumeria graminis f. sp. hordei DH14	genomes/Eukaryota/Blum_gram_f_hordei_DH14/	Blum_gram_f_hordei_DH14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/065/GCA_000151065.3_ASM15106v3	none
Eukaryota	Fungi	A-D	Blumeria graminis f. sp. tritici 94202	genomes/Eukaryota/Blum_gram_f_tritici_94202/	Blum_gram_f_tritici_94202	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/417/865/GCA_000417865.1_Bgt_94202_1	none
Eukaryota	Fungi	A-D	Blumeria graminis f. sp. tritici 96224	genomes/Eukaryota/Blum_gram_f_tritici_96224/	Blum_gram_f_tritici_96224	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/435/GCA_000418435.1_Bgt_454_newbler_assembly	none
Eukaryota	Fungi	A-D	Blumeria graminis f. sp. tritici JIW2	genomes/Eukaryota/Blum_gram_f_tritici_JIW2/	Blum_gram_f_tritici_JIW2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/417/025/GCA_000417025.1_ASM41702v1	none
Eukaryota	Fungi	A-D	Botryobasidium botryosum FD-172 SS1	genomes/Eukaryota/Botr_botr_FD_172_SS1/	Botr_botr_FD_172_SS1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/705/GCA_000697705.1_Botbo1	none
Eukaryota	Fungi	A-D	Botrytis cinerea B05.10	genomes/Eukaryota/Botr_cine_B05_10/	Botr_cine_B05_10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/832/945/GCA_000832945.1_ASM83294v1	none
Eukaryota	Fungi	A-D	Botrytis cinerea BcDW1	genomes/Eukaryota/Botr_cine_BcDW1/	Botr_cine_BcDW1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/525/GCA_000349525.1_BcDW1	none
Eukaryota	Fungi	A-D	Botrytis cinerea T4	genomes/Eukaryota/Botr_cine_T4/	Botr_cine_T4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/075/GCA_000227075.1_BotFuc_Mar2011	none
Eukaryota	Fungi	A-D	Candida albicans 3153A	genomes/Eukaryota/Cand_albi_3153A/	Cand_albi_3153A	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/595/GCA_000447595.1_Cand_albi_3153A_V1	none
Eukaryota	Fungi	A-D	Candida albicans A123	genomes/Eukaryota/Cand_albi_A123/	Cand_albi_A123	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/455/GCA_000447455.1_Cand_albi_A123_V1	none
Eukaryota	Fungi	A-D	Candida albicans A155	genomes/Eukaryota/Cand_albi_A155/	Cand_albi_A155	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/615/GCA_000447615.1_Cand_albi_A155_V1	none
Eukaryota	Fungi	A-D	Candida albicans A20	genomes/Eukaryota/Cand_albi_A20/	Cand_albi_A20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/575/GCA_000447575.1_Cand_albi_A20_V1	none
Eukaryota	Fungi	A-D	Candida albicans A203	genomes/Eukaryota/Cand_albi_A203/	Cand_albi_A203	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/495/GCA_000447495.1_Cand_albi_A203_V1	none
Eukaryota	Fungi	A-D	Candida albicans A48	genomes/Eukaryota/Cand_albi_A48/	Cand_albi_A48	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/535/GCA_000447535.1_Cand_albi_A48_V1	none
Eukaryota	Fungi	A-D	Candida albicans A67	genomes/Eukaryota/Cand_albi_A67/	Cand_albi_A67	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/515/GCA_000447515.1_Cand_albi_A67_V1	none
Eukaryota	Fungi	A-D	Candida albicans A84	genomes/Eukaryota/Cand_albi_A84/	Cand_albi_A84	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/635/GCA_000447635.1_Cand_albi_A84_V1	none
Eukaryota	Fungi	A-D	Candida albicans A92	genomes/Eukaryota/Cand_albi_A92/	Cand_albi_A92	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/475/GCA_000447475.1_Cand_albi_A92_V1	none
Eukaryota	Fungi	A-D	Candida albicans Ca529L	genomes/Eukaryota/Cand_albi_Ca529L/	Cand_albi_Ca529L	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/765/GCA_000691765.1_Cand_albi_Ca529L_V1	none
Eukaryota	Fungi	A-D	Candida albicans CHN1	genomes/Eukaryota/Cand_albi_CHN1/	Cand_albi_CHN1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/555/GCA_000447555.1_Cand_albi_CHN1_V1	none
Eukaryota	Fungi	A-D	Candida albicans WO-1	genomes/Eukaryota/Cand_albi_WO_1/	Cand_albi_WO_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/445/GCA_000149445.2_ASM14944v2	none
Eukaryota	Fungi	A-D	Candida dubliniensis CD36	genomes/Eukaryota/Cand_dubl_CD36/	Cand_dubl_CD36	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/945/GCA_000026945.1_ASM2694v1	none
Eukaryota	Fungi	A-D	Candida glabrata CBS 138	genomes/Eukaryota/Cand_glab_CBS_138/	Cand_glab_CBS_138	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/545/GCA_000002545.2_ASM254v2	none
Eukaryota	Fungi	A-D	Candida orthopsilosis Co 90-125	genomes/Eukaryota/Cand_orth_Co_90_125/	Cand_orth_Co_90_125	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/875/GCA_000315875.1_ASM31587v1	none
Eukaryota	Fungi	A-D	Candida tropicalis 121	genomes/Eukaryota/Cand_trop_121/	Cand_trop_121	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/855/GCA_000633855.1_ASM63385v1	none
Eukaryota	Fungi	A-D	Candida tropicalis MYA-3404	genomes/Eukaryota/Cand_trop_MYA_3404/	Cand_trop_MYA_3404	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/335/GCA_000006335.3_ASM633v3	none
Eukaryota	Fungi	A-D	Capronia semiimmersa CBS 27337	genomes/Eukaryota/Capr_semi_CBS_27337/	Capr_semi_CBS_27337	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/435/GCA_000835435.1_Capr_semi_CBS27337_V1	none
Eukaryota	Fungi	A-D	Cerataphis brasiliensis yeast-like symbiont	genomes/Eukaryota/Cera_bras_yeast_like_symbiont/	Cera_bras_yeast_like_symbiont	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/705/GCA_000372705.1_YLSCbra_1.0	none
Eukaryota	Fungi	A-D	Chaetomium globosum CBS 148.51	genomes/Eukaryota/Chae_glob_CBS_148_51/	Chae_glob_CBS_148_51	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/365/GCA_000143365.1_ASM14336v1	none
Eukaryota	Fungi	A-D	Chaetomium thermophilum var. thermophilum DSM 1495	genomes/Eukaryota/Chae_ther_var_thermophilum_DSM_1495/	Chae_ther_var_thermophilum_DSM_1495	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/225/GCA_000221225.1_CTHT_3.0	none
Eukaryota	Fungi	A-D	Cladophialophora bantiana CBS 173.52	genomes/Eukaryota/Clad_bant_CBS_173_52/	Clad_bant_CBS_173_52	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/475/GCA_000835475.1_Clad_bant_CBS_173_52_V1	none
Eukaryota	Fungi	A-D	Cladophialophora carrionii CBS 160.54	genomes/Eukaryota/Clad_carr_CBS_160_54/	Clad_carr_CBS_160_54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/365/165/GCA_000365165.2_Clad_carr_CBS_160_54_V1	none
Eukaryota	Fungi	A-D	Cladophialophora immunda CBS 83496	genomes/Eukaryota/Clad_immu_CBS_83496/	Clad_immu_CBS_83496	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/495/GCA_000835495.1_Clad_immu_CBS83496_V1	none
Eukaryota	Fungi	A-D	Cladonia macilenta KoLRI003786	genomes/Eukaryota/Clad_maci_KoLRI003786/	Clad_maci_KoLRI003786	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/155/GCA_000444155.1_Clmac_v1	none
Eukaryota	Fungi	A-D	Cladonia metacorallifera KoLRI002260	genomes/Eukaryota/Clad_meta_KoLRI002260/	Clad_meta_KoLRI002260	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/482/085/GCA_000482085.2_C_metacorallifera_KoLRI002260_v2	none
Eukaryota	Fungi	A-D	Cladosporium sphaerospermum UM 843	genomes/Eukaryota/Clad_spha_UM_843/	Clad_spha_UM_843	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/261/425/GCA_000261425.2_UM843Vel2.0	none
Eukaryota	Fungi	A-D	Clavispora lusitaniae ATCC 42720	genomes/Eukaryota/Clav_lusi_ATCC_42720/	Clav_lusi_ATCC_42720	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/835/GCA_000003835.1_ASM383v1	none
Eukaryota	Fungi	A-D	Coccidioides immitis H538.4	genomes/Eukaryota/Cocc_immi_H538_4/	Cocc_immi_H538_4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/815/GCA_000149815.1_ASM14981v1	none
Eukaryota	Fungi	A-D	Coccidioides immitis RMSCC 2394	genomes/Eukaryota/Cocc_immi_RMSCC_2394/	Cocc_immi_RMSCC_2394	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/895/GCA_000149895.1_ASM14989v1	none
Eukaryota	Fungi	A-D	Coccidioides immitis RMSCC 3703	genomes/Eukaryota/Cocc_immi_RMSCC_3703/	Cocc_immi_RMSCC_3703	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/085/GCA_000150085.1_ASM15008v1	none
Eukaryota	Fungi	A-D	Coccidioides immitis RS	genomes/Eukaryota/Cocc_immi_RS/	Cocc_immi_RS	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/335/GCA_000149335.2_ASM14933v2	none
Eukaryota	Fungi	A-D	Coccidioides posadasii C735 delta SOWgp	genomes/Eukaryota/Cocc_posa_C735_delta_SOWgp/	Cocc_posa_C735_delta_SOWgp	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/335/GCA_000151335.1_JCVI-cpa1-1.0	none
Eukaryota	Fungi	A-D	Coccidioides posadasii CPA 0001	genomes/Eukaryota/Cocc_posa_CPA_0001/	Cocc_posa_CPA_0001	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/245/GCA_000150245.1_ASM15024v1	none
Eukaryota	Fungi	A-D	Coccidioides posadasii CPA 0020	genomes/Eukaryota/Cocc_posa_CPA_0020/	Cocc_posa_CPA_0020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/615/GCA_000150615.1_ASM15061v1	none
Eukaryota	Fungi	A-D	Coccidioides posadasii CPA 0066	genomes/Eukaryota/Cocc_posa_CPA_0066/	Cocc_posa_CPA_0066	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/645/GCA_000150645.1_ASM15064v1	none
Eukaryota	Fungi	A-D	Coccidioides posadasii RMSCC 1037	genomes/Eukaryota/Cocc_posa_RMSCC_1037/	Cocc_posa_RMSCC_1037	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/555/GCA_000150555.1_ASM15055v1	none
Eukaryota	Fungi	A-D	Coccidioides posadasii RMSCC 1038	genomes/Eukaryota/Cocc_posa_RMSCC_1038/	Cocc_posa_RMSCC_1038	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/585/GCA_000150585.1_ASM15058v1	none
Eukaryota	Fungi	A-D	Coccidioides posadasii RMSCC 2133	genomes/Eukaryota/Cocc_posa_RMSCC_2133/	Cocc_posa_RMSCC_2133	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/185/GCA_000150185.1_ASM15018v1	none
Eukaryota	Fungi	A-D	Coccidioides posadasii RMSCC 3488	genomes/Eukaryota/Cocc_posa_RMSCC_3488/	Cocc_posa_RMSCC_3488	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/055/GCA_000150055.1_ASM15005v1	none
Eukaryota	Fungi	A-D	Coccidioides posadasii RMSCC 3700	genomes/Eukaryota/Cocc_posa_RMSCC_3700/	Cocc_posa_RMSCC_3700	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/215/GCA_000150215.1_ASM15021v1	none
Eukaryota	Fungi	A-D	Coccidioides posadasii str. Silveira	genomes/Eukaryota/Cocc_posa_Silveira/	Cocc_posa_Silveira	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/175/GCA_000170175.2_CPS2	none
Eukaryota	Fungi	A-D	Colletotrichum graminicola M1.001	genomes/Eukaryota/Coll_gram_M1_001/	Coll_gram_M1_001	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/035/GCA_000149035.1_C_graminicola_M1_001_V1	none
Eukaryota	Fungi	A-D	Colletotrichum orbiculare MAFF 240422	genomes/Eukaryota/Coll_orbi_MAFF_240422/	Coll_orbi_MAFF_240422	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/065/GCA_000350065.1_Corbiculare240422v01	none
Eukaryota	Fungi	A-D	Coniophora puteana RWD-64-598 SS2	genomes/Eukaryota/Coni_pute_RWD_64_598_SS2/	Coni_pute_RWD_64_598_SS2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/625/GCA_000271625.1_Conpu1	none
Eukaryota	Fungi	A-D	Cordyceps militaris CM01	genomes/Eukaryota/Cord_mili_CM01/	Cord_mili_CM01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/605/GCA_000225605.1_CmilitarisCM01_v01	none
Eukaryota	Fungi	A-D	Cronartium comandrae C4	genomes/Eukaryota/Cron_coma_C4/	Cron_coma_C4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/464/975/GCA_000464975.1_Cron_com_1.0	none
Eukaryota	Fungi	A-D	Cronartium quercuum f. sp. banksianae CqE3WM	genomes/Eukaryota/Cron_quer_f_banksianae_CqE3WM/	Cron_quer_f_banksianae_CqE3WM	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/500/775/GCA_000500775.1_Cro_quer_1.0	none
Eukaryota	Fungi	A-D	Cronartium ribicola 11-2	genomes/Eukaryota/Cron_ribi_11_2/	Cron_ribi_11_2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/500/245/GCA_000500245.1_Cro_ribi_1.0	none
Eukaryota	Fungi	A-D	Cryptococcus bestiolae CBS 10118	genomes/Eukaryota/Cryp_best_CBS_10118/	Cryp_best_CBS_10118	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/585/GCA_000512585.1_Cryp_best_CBS10118_V1	none
Eukaryota	Fungi	A-D	Cryptococcus dejecticola CBS 10117	genomes/Eukaryota/Cryp_deje_CBS_10117/	Cryp_deje_CBS_10117	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/565/GCA_000512565.1_Cryp_deje_CBS10117_V1	none
Eukaryota	Fungi	A-D	Cryptococcus gattii 2001/935-1	genomes/Eukaryota/Cryp_gatt_2001_935_1/	Cryp_gatt_2001_935_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/815/GCA_000835815.1_Cryp_gatt_2001_935-1_V1	none
Eukaryota	Fungi	A-D	Cryptococcus gattii 99/473	genomes/Eukaryota/Cryp_gatt_99_473/	Cryp_gatt_99_473	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/836/455/GCA_000836455.1_Cryp_gatt_99_473_V1	none
Eukaryota	Fungi	A-D	Cryptococcus gattii CA1014	genomes/Eukaryota/Cryp_gatt_CA1014/	Cryp_gatt_CA1014	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/875/795/GCA_000875795.1_Cryp_gatt_CA1014_V1	none
